"GemFire Fundamentals Workshop","gemfire","2023"
"GemFire Caching Strategies","gemfire","2023"
"GemFire Cluster Management","gemfire","2023"
"At least the demos are working so far","rabbit","2026"
"GemFire Performance Tuning","gemfire","2023"
"GemFire Data Replication Deep Dive","gemfire","2023"
"GemFire Query Optimization","gemfire","2023"
"GemFire Security Essentials","gemfire","2023"
"This is cool, rabbit streams is kinda like a continuous query","rabbit","2026"
"GemFire Integration with Spring","gemfire","2023"
"GemFire Cloud Deployment","gemfire","2023"
"GemFire Use Cases Panel","gemfire","2023"
"Wow, I can just push data to rabbit streams for realtime SQL versus batching","rabbit","2026"
"GemFire Lightning Talk: Real-Time Analytics","gemfire","2023"
"GemFire Demo: Multi-Region Clusters","gemfire","2023"
"GemFire Advanced Topics","gemfire","2023"
"GemFire Hands-On Lab","gemfire","2023"
"GemFire Workshop: Backup & Restore","gemfire","2023"
"GemFire Keynote: Future of In-Memory Data","gemfire","2023"
"GemFire Case Study: Financial Services","gemfire","2023"
"GemFire Fireside Chat: Developer Experience","gemfire","2023"
"GemFire Networking Session","gemfire","2023"
"GemFire Closing Ceremony","gemfire","2023"
"RabbitMQ Advanced Messaging Patterns","rabbit","2024"
"RabbitMQ Cluster Management","rabbit","2024"
"RabbitMQ Performance Benchmarking","rabbit","2024"
"RabbitMQ Security Features","rabbit","2024"
"RabbitMQ Integration with Kubernetes","rabbit","2024"
"RabbitMQ Streaming Workshop","rabbit","2024"
"RabbitMQ Best Practices Panel","rabbit","2024"
"RabbitMQ Lightning Talk: IoT Messaging","rabbit","2024"
"RabbitMQ Demo: Multi-Region Deployment","rabbit","2024"
"RabbitMQ Use Cases Session","rabbit","2024"
"RabbitMQ Hands-On Lab","rabbit","2024"
"RabbitMQ Advanced Topics","rabbit","2024"
"RabbitMQ Keynote: Messaging Future","rabbit","2024"
"RabbitMQ Case Study: E-Commerce","rabbit","2024"
"RabbitMQ Fireside Chat: Developer Experience","rabbit","2024"
"RabbitMQ Networking Session","rabbit","2024"
"RabbitMQ Workshop: QoS & Routing","rabbit","2024"
"RabbitMQ Demo: HA with Erlang","rabbit","2024"
"RabbitMQ Closing Ceremony","rabbit","2024"
"RabbitMQ Lightning Talk: Serverless Messaging","rabbit","2024"
"PostgreSQL 15 Performance Tuning","postgres","2025"
"PostgreSQL Extensions Showcase","postgres","2025"
"PostgreSQL Advanced Indexing","postgres","2025"
"PostgreSQL Backup & Restore Workshop","postgres","2025"
"PostgreSQL Security Hardening","postgres","2025"
"PostgreSQL Cloud Deployment","postgres","2025"
"PostgreSQL High Availability","postgres","2025"
"PostgreSQL Partitioning Deep Dive","postgres","2025"
"PostgreSQL Query Optimization","postgres","2025"
"PostgreSQL Use Cases Panel","postgres","2025"
"PostgreSQL Lightning Talk: JSONB","postgres","2025"
"PostgreSQL Demo: Replication Setup","postgres","2025"
"PostgreSQL Advanced Topics","postgres","2025"
"PostgreSQL Workshop: PL/pgSQL","postgres","2025"
"PostgreSQL Keynote: Future of Relational DB","postgres","2025"
"PostgreSQL Case Study: Healthcare","postgres","2025"
"PostgreSQL Fireside Chat: DevOps","postgres","2025"
"PostgreSQL Networking Session","postgres","2025"
"PostgreSQL Demo: Logical Decoding","postgres","2025"
"PostgreSQL Closing Ceremony","postgres","2025"
"Valkey 7.0 Feature Highlights","valkey","2026"
"Valkey Cluster Management","valkey","2026"
"Valkey Performance Benchmarking","valkey","2026"
"Valkey Security & Access Control","valkey","2026"
"Valkey Integration with Node.js","valkey","2026"
"Valkey Advanced Data Types","valkey","2026"
"Valkey Use Cases Panel","valkey","2026"
"Valkey Lightning Talk: Real-Time Analytics","valkey","2026"
"Valkey Demo: Multi-Region Clusters","valkey","2026"
"Valkey Workshop: Persistence & Replication","valkey","2026"
"Valkey Advanced Topics","valkey","2026"
"Valkey Hands-On Lab","valkey","2026"
"Valkey Keynote: In-Memory Future","valkey","2026"
"Valkey Case Study: Gaming","valkey","2026"
"Valkey Fireside Chat: Developer Experience","valkey","2026"
"Valkey Networking Session","valkey","2026"
"Valkey Demo: Lua Scripting","valkey","2026"
"Valkey Workshop: Scaling & Partitioning","valkey","2026"
"Valkey Closing Ceremony","valkey","2026"
"Valkey Lightning Talk: Serverless Caching","valkey","2026"
"Dataflow 1.0 Architecture","dataflow","2027"
"Dataflow Streaming Pipelines","dataflow","2027"
"Dataflow Batch Processing","dataflow","2027"
"Dataflow Performance Tuning","dataflow","2027"
"Dataflow Integration with Kubernetes","dataflow","2027"
"Dataflow Use Cases Panel","dataflow","2027"
"Dataflow Lightning Talk: Real-Time Dashboards","dataflow","2027"
"Dataflow Demo: Multi-Region Deployment","dataflow","2027"
"Dataflow Workshop: Data Orchestration","dataflow","2027"
"Dataflow Advanced Topics","dataflow","2027"
"Dataflow Hands-On Lab","dataflow","2027"
"Dataflow Keynote: Streaming Future","dataflow","2027"
"Dataflow Case Study: IoT Analytics","dataflow","2027"
"Dataflow Fireside Chat: DevOps","dataflow","2027"
"Dataflow Networking Session","dataflow","2027"
"Dataflow Demo: Beam Integration","dataflow","2027"
"Dataflow Workshop: Scheduling","dataflow","2027"
"Dataflow Advanced Dataflow Features","dataflow","2027"
"Dataflow Closing Ceremony","dataflow","2027"
"Dataflow Lightning Talk: Serverless Pipelines","dataflow","2027"
"Opening Keynote","rabbit","2023"
"Advanced Rabbit Patterns","rabbit","2023"
"Data Integration with Rabbit","rabbit","2023"
"Postgres 14 Performance Tuning","postgres","2023"
"Postgres Extensions Deep Dive","postgres","2023"
"Postgres for Analytics","postgres","2023"
"Valkey 7.0 Feature Highlights","valkey","2023"
"Valkey Cluster Management","valkey","2023"
"Valkey Performance Benchmarking","valkey","2023"
"Dataflow Architecture Workshop","dataflow","2023"
"Dataflow Streaming Pipelines","dataflow","2023"
"Dataflow Best Practices","dataflow","2023"
"Lightning Talk: RabbitMQ in IoT","rabbit","2024"
"Lightning Talk: Postgres in Edge Devices","postgres","2024"
"Lightning Talk: Valkey in Gaming","valkey","2024"
"Lightning Talk: Dataflow for ML","dataflow","2024"
"Panel: Future of Messaging","rabbit","2024"
"Panel: Next-Gen Databases","postgres","2024"
"Panel: In-Memory Datastores","valkey","2024"
"Panel: Serverless Dataflow","dataflow","2024"
"Workshop: Building Scalable Microservices with Rabbit","rabbit","2024"
"Workshop: PostgreSQL High Availability","postgres","2024"
"Workshop: PostgreSQL High Availability","postgres","2024"
"Workshop: Valkey for Real-Time Analytics","valkey","2024"
"Workshop: Dataflow ETL Pipelines","dataflow","2024"
"Keynote: Modern Data Architecture","dataflow","2024"
"Keynote: Messaging in 2025","rabbit","2024"
"Keynote: PostgreSQL Beyond OLTP","postgres","2024"
"Keynote: Valkey in Distributed Systems","valkey","2024"
"Networking Event","rabbit","2024"
"Networking Event","postgres","2024"
"Networking Event","valkey","2024"
"Networking Event","dataflow","2024"
"Demo: RabbitMQ on Kubernetes","rabbit","2025"
"Demo: PostgreSQL on Cloud Native","postgres","2025"
"Demo: Valkey with Docker Compose","valkey","2025"
"Demo: Dataflow on AWS","dataflow","2025"
"Hackathon Kickoff","rabbit","2025"
"Hackathon Kickoff","postgres","2025"
"Hackathon Kickoff","valkey","2025"
"Hackathon Kickoff","dataflow","2025"
"Closing Keynote","rabbit","2025"
"Closing Keynote","postgres","2025"
"Closing Keynote","valkey","2025"
"Closing Keynote","dataflow","2025"
"Fireside Chat: RabbitMQ Trends","rabbit","2025"
"Fireside Chat: Postgres in Cloud","postgres","2025"
"Fireside Chat: Valkey Performance","valkey","2025"
"Fireside Chat: Dataflow Future","dataflow","2025"
"Case Study: RabbitMQ at Scale","rabbit","2025"
"Case Study: Postgres for Finance","postgres","2025"
"Case Study: Valkey in Gaming","valkey","2025"
"Case Study: Dataflow for IoT","dataflow","2025"
"Tutorial: RabbitMQ Basic Setup","rabbit","2025"
"Tutorial: PostgreSQL Admin Tools","postgres","2025"
"Tutorial: Valkey Client Libraries","valkey","2025"
"Tutorial: Dataflow UI Deep Dive","dataflow","2025"
"Coffee Break","rabbit","2025"
"Coffee Break","postgres","2025"
"Coffee Break","valkey","2025"
"Coffee Break","dataflow","2025"
"Panel: Scalability with Rabbit","rabbit","2025"
"Panel: Performance with Postgres","postgres","2025"
"Panel: In-Memory with Valkey","valkey","2025"
"Panel: Cloud Dataflow","dataflow","2025"
"Workshop: RabbitMQ Security","rabbit","2025"
"Workshop: Postgres Backup Strategies","postgres","2025"
"Workshop: Valkey Persistence","valkey","2025"
"Workshop: Dataflow Deployment","dataflow","2025"
"Lightning Talk: RabbitMQ in Microservices","rabbit","2025"
"Lightning Talk: Postgres Sharding","postgres","2025"
"Lightning Talk: Valkey Caching","valkey","2025"
"Lightning Talk: Dataflow in Edge","dataflow","2025"
"Keynote: The Future of Messaging","rabbit","2025"
"Keynote: Database Evolution","postgres","2025"
"Keynote: Next-Gen In-Memory","valkey","2025"
"Keynote: Streaming Dataflow","dataflow","2025"
"Demo: RabbitMQ Clustering","rabbit","2025"
"Demo: PostgreSQL JSONB","postgres","2025"
"Demo: Valkey Lua Scripting","valkey","2025"
"Demo: Dataflow with Apache Beam","dataflow","2025"
"Hackathon Presentation","rabbit","2025"
"Hackathon Presentation","postgres","2025"
"Hackathon Presentation","valkey","2025"
"Hackathon Presentation","dataflow","2025"
"Closing Ceremony","rabbit","2025"
"Closing Ceremony","postgres","2025"
"Closing Ceremony","valkey","2025"
"Closing Ceremony","dataflow","2025"
"Fireside Chat: Microservices with Rabbit","rabbit","2025"
"Fireside Chat: Advanced Postgres","postgres","2025"
"Fireside Chat: In-Memory Scaling","valkey","2025"
"Fireside Chat: Dataflow Monitoring","dataflow","2025"
"Case Study: RabbitMQ for High Throughput","rabbit","2025"
"Case Study: Postgres in Big Data","postgres","2025"
"Case Study: Valkey for Session Store","valkey","2025"
"Case Study: Dataflow for Real-Time Dashboards","dataflow","2025"
"Tutorial: Setting Up RabbitMQ on EC2","rabbit","2025"
"Tutorial: PostgreSQL Performance Tuning","postgres","2025"
"Tutorial: Valkey Deployment Guide","valkey","2025"
"Tutorial: Dataflow Pipeline Orchestration","dataflow","2025"